1 / Starter,animal,állat
1 / Starter,art,művészet
1 / Starter,Australia,Ausztrália
1 / Starter,bad,rossz
1 / Starter,bag,táska
1 / Starter,between,között
1 / Starter,big,nagy
1 / Starter,board,tábla
1 / Starter,boring,unalmas
1 / Starter,Brazil,Brazília
1 / Starter,camera,fényképezőgép
1 / Starter,capital,főváros
1 / Starter,chair,szék
1 / Starter,chatting online,online csevegés
1 / Starter,cheap,olcsó
1 / Starter,China,Kína
1 / Starter,clock,óra
1 / Starter,coat,kabát
1 / Starter,computer,számítógép
1 / Starter,cooking,főzni
1 / Starter,cousin,unokatestvér
1 / Starter,cover,borító
1 / Starter,currency,valuta
1 / Starter,cycling,kerékpározik
1 / Starter,desk,íróasztal
1 / Starter,dictionary,szótár
1 / Starter,drawer,fiók
1 / Starter,Egypt,Egyiptom
1 / Starter,email,e-mail
1 / Starter,especially,különösen
1 / Starter,expensive,drága
1 / Starter,fast,gyors
1 / Starter,favourite,kedvenc
1 / Starter,film,film
1 / Starter,flag,zászló
1 / Starter,good,jó
1 / Starter,hobby,hobbi
1 / Starter,horrible,szörnyű
1 / Starter,ID card,személyi igazolvány
1 / Starter,in,-ban -ben
1 / Starter,India,India
1 / Starter,interested,érdeklődik
1 / Starter,interesting,érdekes
1 / Starter,Italy,Olaszország
1 / Starter,Japan,Japán
1 / Starter,laptop,laptop
1 / Starter,meeting friends,barátokkal való találkozás
1 / Starter,message,üzenet
1 / Starter,Mexico,Mexikó
1 / Starter,mobile phone,mobiltelefon
1 / Starter,music,zene
1 / Starter,nationality,állampolgárság
1 / Starter,near,közel
1 / Starter,new,új
1 / Starter,next to,mellett
1 / Starter,nice,szép
1 / Starter,notebook,jegyzetfüzet
1 / Starter,old,régi
1 / Starter,on,azon
1 / Starter,opposite,ellenkező
1 / Starter,parrot,papagáj
1 / Starter,pen,toll
1 / Starter,people,emberek
1 / Starter,pet,kisállat
1 / Starter,photography,fotózás
1 / Starter,pocket,zseb
1 / Starter,popular,népszerű
1 / Starter,poster,poszter
1 / Starter,present,ajándék
1 / Starter,quite,eléggé
1 / Starter,reading,olvas
1 / Starter,really,nagyon
1 / Starter,shelf,polc
1 / Starter,shopping,vásárolni
1 / Starter,skateboarding,gördeszkázni
1 / Starter,slow,lassú
1 / Starter,small,kicsi
1 / Starter,Spain,Spanyolország
1 / Starter,speaker,hangszóró
1 / Starter,sport,sport
1 / Starter,sports star,sportsztár
1 / Starter,sure,biztos
1 / Starter,table,asztal
1 / Starter,UK,Egyesült Királyság
1 / Starter,USA,USA
1 / Starter,Turkey,Törökország
1 / Starter,under,alatt
1 / Starter,unpopular,népszerűtlen
1 / Starter,video games,videojáték
1 / Starter,watching TV,tévénézés
1 / U1,3D cinema,3D mozi
1 / U1,3D film,3D film
1 / U1,beach,strand
1 / U1,bike,kerékpár
1 / U1,bridge,híd
1 / U1,building,épület
1 / U1,bus station,buszpályaudvar
1 / U1,business,üzlet
1 / U1,cabin,kabin
1 / U1,cafe,kávézó
1 / U1,castle,vár
1 / U1,chef,szakácsnő
1 / U1,Chinatown,kínai negyed
1 / U1,cinema,mozi
1 / U1,clean,tiszta
1 / U1,climbing wall,mászófal
1 / U1,comfortable,kényelmes
1 / U1,criuse ship,hajóút
1 / U1,dangerous,veszélyes
1 / U1,dirty,piszkos
1 / U1,district,negyed
1 / U1,eciting,izgalmas
1 / U1,famous,híres
1 / U1,fantastic,fantasztikus
1 / U1,far,távol
1 / U1,flat,lakás
1 / U1,friendly,barátságos
1 / U1,help,segítség
1 / U1,hot,forró
1 / U1,hotel,szálloda
1 / U1,library,könyvtár
1 / U1,market,piac
1 / U1,modern,modern
1 / U1,monument,műemlék
1 / U1,noisy,zajos
1 / U1,office,iroda
1 / U1,office bilding,irodaépület
1 / U1,old part,régi rész
1 / U1,park,park
1 / U1,part,rész
1 / U1,passenger,utas
1 / U1,plane,repülőgép
1 / U1,plant,üzem
1 / U1,population,lakosság
1 / U1,pretty,szép
1 / U1,quiet,csendes
1 / U1,restaurant,étterem
1 / U1,safe,biztonságos
1 / U1,school,iskola
1 / U1,shop,bolt
1 / U1,shopping centre,bevásárlóközpont
1 / U1,skateboart park,gördeszkapark
1 / U1,sports centre,sportközpont
1 / U1,sports team,sportcsapat
1 / U1,square,tér
1 / U1,street,utca
1 / U1,swimming pool,úszómedence
1 / U1,tall,magas
1 / U1,theatre,színház
1 / U1,tourist,turisztikai
1 / U1,tourist information centre,turisztikai információs központ
1 / U1,train station,vasútállomás
1 / U1,transport,közlekedés
1 / U1,tree,fa
1 / U1,ugly,csúnya
1 / U1,unfriendly,barátságtalan
1 / U1,welcome,üdvözöljük
1 / U1,zoo,állatkert
1 / U2,add,hozzáadás
1 / U2,also,szintén
1 / U2,always,mindig
1 / U2,bakery,pékség
1 / U2,barbecue,grillezés
1 / U2,brother,testvér
1 / U2,brush my teeth,fogmosás
1 / U2,carnival,karnevál
1 / U2,celebrate,ünneplés
1 / U2,celebration,ünneplés
1 / U2,celebrity,híresség
1 / U2,chat online,online csevegés
1 / U2,chat with friends,csevegés barátokkal
1 / U2,concert,koncert
1 / U2,cooking class,főzőtanfolyam
1 / U2,culture quiz,kulturális kvíz
1 / U2,daily routine,napi rutin
1 / U2,dance,tánc
1 / U2,dance competition,táncverseny
1 / U2,daughter,lánya
1 / U2,do my homework,leckét csinálok
1 / U2,early,korán
1 / U2,enormus,óriási
1 / U2,face painting,arcfestés
1 / U2,fireworks,tűzijáték
1 / U2,general,általános
1 / U2,get home,hazaérni
1 / U2,get up,felkelni
1 / U2,give presents,ajándékozni
1 / U2,go out with your family or friends,menni a családoddal vagy a barátaiddal
1 / U2,go to bed,lefeküdni
1 / U2,go to school,iskolába menni
1 / U2,granddaughter,unoka
1 / U2,have a special family meal,különleges családi étkezés
1 / U2,have a break,szünetet tartani
1 / U2,have breakfast,reggelizni
1 / U2,have classes,órákat venni
1 / U2,have dinner,vacsorázni
1 / U2,have lunch,ebédelni
1 / U2,help,segíteni
1 / U2,help with the housework,segíteni a házimunkában
1 / U2,international,nemzetközi
1 / U2,invite people to your house,meghívni embereket a házadba
1 / U2,lion,oroszlán
1 / U2,mini,mini
1 / U2,minibus,minibusz
1 / U2,never,soha
1 / U2,normally,normális esetben
1 / U2,often,gyakran
1 / U2,organized,szervezett
1 / U2,parade,felvonulás
1 / U2,parent,szülő
1 / U2,play music,zenélni
1 / U2,play video games,videojátékozni
1 / U2,programme,műsor
1 / U2,relay,váltó
1 / U2,sing songs,énekelni
1 / U2,sister,nővér
1 / U2,sleep,alvás
1 / U2,sofa,kanapé
1 / U2,sometimes,néha
1 / U2,son,fia
1 / U2,sound,hang
